key,main_integral,var_integral,pct_diff_integral,main_peak,var_peak,pct_diff_peak,main_latency,var_latency,correlation
"(4, 1)",-0.027769443643157726,-0.7270157587271269,-2518.0422196044265,0.02030113137936521,-0.03086805286871849,-252.05089948875397,8.0,30.0,0.8299447010211124
"(4, 2)",1.6755656469525317,0.717024501741442,-57.207018236167315,0.10104894484777864,0.10805458922144134,6.932921847146539,0.0,0.0,0.4769579538870666
"(4, 3)",-0.7684858992715148,-0.16059171958083673,79.1028410888125,-0.029944504181402164,0.05041120860820855,268.34878381295016,17.0,0.0,0.8926692372216767
"(4, 4)",11.331466859484562,3.433926630792303,-69.69565658731932,0.6413925727608242,0.1795768254838154,-72.00204163405868,2.0,1.0,0.996202713733275
"(4, 5)",3.786800631826363,-0.3656748827690695,-109.65656548421737,0.12460704907713822,-0.015221058243346786,-112.21524653386516,1.0,31.0,0.2626637973138064
"(4, 6)",-967.8457414225086,-287.0099009617824,70.34549115854512,-16.52733062228922,-5.540595074014082,66.47616484090976,126.0,126.0,0.9960825346218711
"(4, 7)",-1.9963688720077322,-4.348632565154276e-12,99.99999999978219,-1.3824560110072652,2.0755112880173163,250.13217574316067,48.0,0.0,0.03550315743009843
"(5, -1)",-726.9632818670809,-342.6967552857018,52.859138303994705,-5.1788111956993665,-2.115254363555358,59.15559993166143,13.0,165.0,0.7263643347245847
"(5, 0)",0.4216323487948146,-0.1640258035605776,-138.90256618815553,0.014089555651321452,0.020810938311122906,47.70471706942057,0.0,1.0,-0.3379242052091094
"(5, 1)",-0.7721686517249117,-0.55053752662959,28.702424606364197,-0.03483165383270717,0.027907228464014364,180.12030837826387,31.0,5.0,0.9960208117197532
"(5, 2)",0.7073752645690224,0.10091801012923392,-85.73345504373557,0.09649522584966712,0.04074698303534399,-57.77305801758009,0.0,0.0,0.20208715685457793
"(5, 3)",-0.5682483341129702,0.4202356428813266,173.95281563602123,-0.08361808488831102,-0.029633020462182545,64.56146956515032,0.0,10.0,-0.8520381063044278
"(5, 4)",0.4977996764135566,-0.3510357667350749,-170.51747587787608,0.11154731535389645,0.02743313337193711,-75.40672916698855,0.0,1.0,0.8388287060055891
"(5, 5)",25.452157525183097,2.200810500523829,-91.35314757365349,1.638577009834959,0.05641431477780022,-96.55711544595134,1.0,28.0,0.19717767605767741
"(5, 6)",-421.85030185410545,-39.14232726149475,90.72127551184451,-16.632461602004426,-2.091705250834936,87.42395863650839,52.0,52.0,0.975125855941204
"(5, 7)",-1.7569698135138958,-1.1886325257393082e-14,99.99999999999932,2.4768990536049973,-1.243028691464342,-150.1848749005406,56.0,75.0,-0.15175211272716954
